Country,iso_n3,1995,2005,2014,delta
Samoa,882,3,3,4,1.0
Sao Tome and Principe,678,1,2,3,2.0
Saudi Arabia,682,"3,516","6,047","8,876",5360.0
Senegal,686,87,114,169,82.0
Seychelles,690,3,10,7,4.0
Sierra Leone,694,48,56,69,21.0
Singapore,702,640,805,"1,142",502.0
Slovakia,703,746,778,658,-88.0
Slovenia,705,254,306,279,25.0
Solomon Islands,90,5,6,6,1.0
Somalia,706,77,107,138,61.0
South Africa,710,"4,750","5,399","6,343",1593.0
Spain,724,"4,191","5,915","4,732",541.0
Sri Lanka,144,225,324,408,183.0
State of Palestine,275,22,58,69,47.0
Suriname,740,34,26,36,2.0
Sweden,752,"2,089","2,138","2,000",-89.0
Switzerland,756,"1,003","1,080","1,043",40.0
Syrian Arab Republic,760,585,740,454,-131.0
Tajikistan,762,146,148,158,12.0
Thailand,764,"2,635","4,067","5,673",3038.0
Togo,768,71,99,139,68.0
Tonga,776,1,2,2,1.0
Trinidad and Tobago,780,258,678,822,564.0
Tunisia,788,220,349,435,215.0
Turkey,792,"2,598","3,548","5,048",2450.0
Turkmenistan,795,574,805,"1,123",549.0
Turks and Caicos Islands,796,1,2,3,2.0
Uganda,800,312,417,625,313.0
Ukraine,804,"7,073","5,872","4,434",-2639.0
United Arab Emirates,784,"1,108","1,842","3,658",2550.0
United Kingdom,826,"8,925","9,219","7,466",-1459.0
United Rep. of Tanzania,834,463,722,"1,039",576.0
United States of America,840,"86,000","96,447","91,529",5529.0
Uruguay,858,107,126,199,92.0
Uzbekistan,860,"1,787","2,050","1,829",42.0
Vanuatu,548,1,2,3,2.0
Venezuela (Boliv. Rep. of),862,"2,167","2,737","2,732",565.0
Viet Nam,704,908,"1,756","2,765",1857.0
Yemen,887,142,274,335,193.0
Zambia,894,244,305,415,171.0
Zimbabwe,716,422,414,465,43.0
