Country,iso_n3,1995,2005,2014,delta
Slovakia,703,42115,39358,30678,-11437
Slovenia,705,14404,15867,12812,-1592
Solomon Islands,90,143,161,202,59
Somalia,706,590,594,609,19
South Africa,710,362259,416916,489772,127513
Spain,724,241611,353462,233977,-7634
Sri Lanka,144,5904,12101,18394,12490
State of Palestine,275,946,2743,2838,1892
Suriname,740,2065,1595,1991,-74
Sweden,752,55155,51562,43421,-11734
Switzerland,756,39226,41338,35306,-3920
Syrian Arab Republic,760,41664,50627,30704,-10960
Tajikistan,762,2450,2442,5189,2739
Thailand,764,161154,247467,316213,155059
Togo,768,953,1338,2622,1669
Tonga,776,95,114,121,26
Trinidad and Tobago,780,17022,38151,46274,29252
Tunisia,788,15735,22662,28830,13095
Turkey,792,171975,237391,345981,174006
Turkmenistan,795,34000,48338,68423,34423
Turks and Caicos Islands,796,48,121,205,157
Uganda,800,939,2171,5229,4290
Ukraine,804,445944,333877,227299,-218645
United Arab Emirates,784,70641,116149,211370,140729
United Kingdom,826,538118,542580,419820,-118298
United Rep. of Tanzania,834,3553,5504,11562,8009
United States of America,840,5132920,5789727,5254279,121359
Uruguay,858,4591,5776,6747,2156
Uzbekistan,860,103435,117249,105214,1779
Vanuatu,548,66,59,154,88
Venezuela (Boliv. Rep. of),862,133350,165096,185220,51870
Viet Nam,704,29090,98144,166911,137821
Yemen,887,10466,20044,22699,12233
Zambia,894,2171,2288,4503,2332
Zimbabwe,716,15130,10770,12020,-3110
