year,Total Emissions,Average Emission per Capita
1975,16853532,4.747
1985,19864139,4.147
1995,23120435,4.678
2005,29490014,5.098
2010,33472376,5.057
2012,35470891,4.947
2013,35837591,4.876
2014,36138285,4.887
